"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Knowledge Distillation Algorithm of Feature Reconstruction Based on Feature Maps of the Middle Layer","X. Peng; F. Liu","National Key Laboratory of Science and Technology on Automatic Target Recognition, School of Electronic Science, National University of Defense Technology, Changsha, China; National Key Laboratory of Science and Technology on Automatic Target Recognition, School of Electronic Science, National University of Defense Technology, Changsha, China","2022 4th International Conference on Advances in Computer Technology, Information Science and Communications (CTISC)","15 Aug 2022","2022","","","1","7","Knowledge distillation is an effective model compression technology. As the main research branch, the knowledge distillation based on the middle layer focuses on extracting the network representation knowledge in the hidden layer to improve student learning performance. To fully utilize the process knowledge of the teacher model, an algorithm of the feature reconstruction based on middle-layer feature maps is proposed, which embeds middle-layer feature maps of the student network into the teacher network group by group. We introduce the intermediate soft-hard label contained process knowledge of the network with the help of pre-trained module group of the teacher network in loss function. This can increase the coupling of the teacher-student network in the process of knowledge transfer and improve the intrinsic knowledge inheritance of the compressed student model to the teacher network. The experimental results on the CIFAR-10 and CIFAR-100 verify the effectiveness and scalability of this method.","","978-1-6654-5872-6","10.1109/CTISC54888.2022.9849802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9849802","model compression;knowledge distillation;middle-layer feature maps;feature reconstruction","Knowledge engineering;Couplings;Information science;Computational modeling;Scalability;Feature extraction;Knowledge transfer","","","","18","IEEE","15 Aug 2022","","","IEEE","IEEE Conferences"
"Distance Learning of Programmable Logic Control: An Implementation Example","G. Mušič; S. Tomažič; V. Logar","Faculty of Electrical Engineering, University of Ljubljana, Ljubljana, Slovenia; Faculty of Electrical Engineering, University of Ljubljana, Ljubljana, Slovenia; Faculty of Electrical Engineering, University of Ljubljana, Ljubljana, Slovenia","2022 29th International Conference on Systems, Signals and Image Processing (IWSSIP)","17 Aug 2022","2022","CFP2255E-ART","","1","4","This article describes the implementation of a distance learning course in programmable logic control designed and delivered during the Covid 19 pandemic. The course has a strong practical orientation, so it was a particular challenge to maintain this orientation in the remote implementation of the course. The goal was achieved through a combination of software simulation tools, remote access to computers in the lab and interactive sessions with an instructor.","2157-8702","978-1-6654-9578-3","10.1109/IWSSIP55020.2022.9854423","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9854423","distance learning;engineering higher education;laboratory course;industrial automation;programmable logic controller;digital twin","Computers;COVID-19;Computer aided instruction;Pandemics;Image processing;Computational modeling;Software","","","","9","IEEE","17 Aug 2022","","","IEEE","IEEE Conferences"
"Game-Centered Language Learning based on Tasks, Dialogs and Cheating","S. Rüdian; N. Pinkwart","Department of Computer Science Weizenbaum Institute, Humboldt-Universität zu Berlin, Berlin, Germany; Department of Computer Science Weizenbaum Institute, Humboldt-Universität zu Berlin, Berlin, Germany","2022 International Conference on Advanced Learning Technologies (ICALT)","17 Aug 2022","2022","","","233","235","The combination of gaming and language learning is not new, but it has not been applied in open education adventure games. Although it is known that especially young people aim to play games, their combination with learning is mainly limited to simulations. This does not have a high impact on intrinsic motivation. This paper provides an engine to create adventure games with a virtual world based on images and a dialog-based storyline. Learners interact with virtual entities in plausible contexts using the foreign language only. If learners are unaware of a word’s meaning, cheating is possible, enhancing the user model. Based on that, learning material can be generated to practice unknown vocab by regularly interrupting the game. The generated micro-course needs to be finished before the game continues. We tested a game created using the engine and got wide acceptance.","2161-377X","978-1-6654-9519-6","10.1109/ICALT55010.2022.00076","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9853760","language learning;adventure game;game engine","Education;Games;Task analysis;Engines","","","","16","IEEE","17 Aug 2022","","","IEEE","IEEE Conferences"
"Collaborative clustering parallel reinforcement learning for edge-cloud digital twins manufacturing system","F. Yang; T. Feng; F. Xu; H. Jiang; C. Zhao","School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing 100876, China; China Tendering Center for Mechanical and Electrical Equipment, Ministry of Industry and Information Technology, Beijing 100142, China; School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing 100876, China; School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing 100876, China; School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing 100876, China","China Communications","18 Aug 2022","2022","19","8","138","148","To realize high-accuracy physical-cyber digital twin (DT) mapping in a manufacturing system, a huge amount of data need to be collected and analyzed in real-time. Traditional DTs systems are deployed in cloud or edge servers independently, whilst it is hard to apply in real production systems due to the high interaction or execution delay. This results in a low consistency in the temporal dimension of the physical-cyber model. In this work, we propose a novel efficient edge-cloud DT manufacturing system, which is inspired by resource scheduling technology. Specifically, an edge-cloud collaborative DTs system deployment architecture is first constructed. Then, deterministic and uncertainty optimization adaptive strategies are presented to choose a more powerful server for running DT-based applications. We model the adaptive optimization problems as dynamic programming problems and propose a novel collaborative clustering parallel Q-learning (CCPQL) algorithm and prediction-based CCPQL to solve the problems. The proposed approach reduces the total delay with a higher convergence rate. Numerical simulation results are provided to validate the approach, which would have great potential in dynamic and complex industrial internet environments.","1673-5447","","10.23919/JCC.2022.08.011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9861230","edge-cloud collaboration;digital twins;job shop scheduling;parallel reinforcement learning","Servers;Delays;Cloud computing;Production;Collaboration;Real-time systems;Optimization","","1","","","","17 Aug 2022","","","IEEE","IEEE Magazines"
"Electric Vehicle Battery Management using Digital Twin","N. D. K. M. Eaty; P. Bagade","Dept. of Computer Science and Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Dept. of Computer Science and Engineering, Indian Institute of Technology Kanpur, Kanpur, India","2022 IEEE International Conference on Omni-layer Intelligent Systems (COINS)","18 Aug 2022","2022","","","1","5","In the transportation business, battery-powered electric vehicles (EVs) are regarded the immediate solution to internal combustion engines in light of the growth in environmental pollution. While expanding the use of electric vehicles, battery-related difficulties such as range anxiety, safety concerns, cost, and the availability of charging stations are important concerns. A precise online estimate of the battery’s State of Health (SoH) has the ability to resolve some of these issues. However, computing the SoH on EVs is computationally intensive, necessitating expensive onboard integrated electronics and rapidly draining the EV battery. In addition, the SoH estimating algorithms currently available do not utilise incremental battery usage data. This research presents a digital twin of the EV battery as a solution to the difficulty of onboard computation for incremental SoH prediction. It enables intensive computing and analytics to be performed in the cloud instead of a vehicle’s battery management system (BMS). It calculates the SoH of the battery using an incremental learning method with a mean square error of 0.023.","","978-1-6654-8356-8","10.1109/COINS54846.2022.9854955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9854955","Digital Twin;SoH (State of Health);SoC (State of Charge);Incremental Learning;Cloud Computing","Learning systems;Pollution;Battery management systems;Transportation;Mean square error methods;Electric vehicles;Prediction algorithms","","","","19","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"A Machine Learning-based Digital Twin for Electric Vehicle Battery Modeling","K. S. S. Alamin; Y. Chen; E. Macii; M. Poncino; S. Vinco","Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy; Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy; Interuniversity Department of Regional and Urban Studies and Planning, Politecnico di Torino, Turin, Italy; Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy; Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy","2022 IEEE International Conference on Omni-layer Intelligent Systems (COINS)","18 Aug 2022","2022","","","1","6","The widespread adoption of EVs is limited by their reliance on batteries with presently low energy and power densities compared to liquid fuels and are subject to aging and performance deterioration over time. For this reason, monitoring the battery state of charge and state of health during the EV lifetime is a very relevant problem. This work proposes the structure of a battery digital twin designed to reflect battery dynamics at the run time accurately. To ensure a high degree of correctness concerning non-linear phenomena, the digital twin relies on data-driven models trained on traces of battery evolution over time: a state of health model, repeatedly executed to estimate the degradation of maximum battery capacity, and a state of charge model, retrained periodically to reflect the impact of aging. The proposed digital twin structure will be exemplified on a public dataset to motivate its adoption and prove its effectiveness, with a high degree of accuracy and inference and retraining times compatible with onboard execution.","","978-1-6654-8356-8","10.1109/COINS54846.2022.9854960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9854960","","Power system measurements;Liquids;Machine learning;Aging;Data models;Batteries;Digital twins","","1","","25","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"Framework for the Development of a Digital Twin for Solar Water Heating Systems","G. Silva; A. Araújo","Faculty of Engineering and Technology, Universidade Lusíada, COMEGI, Portugal; Faculty of Engineering and Technology, Universidade Lusíada, COMEGI, Portugal","2022 International Conference on Control, Automation and Diagnosis (ICCAD)","18 Aug 2022","2022","","","1","5","Energy efficiency in buildings is a key issue in the context of smart cities and should embrace a more intensive use of renewable energies. As such, many European countries are now promoting the use of solar energy for hot water production, giving financial incentives and introducing mandatory building regulations. It is proposed a framework for the development of a digital twin-based management system for a solar heating system. This is a concept framework and thus no results are yet available. The proposed framework takes advantage of the latest technologies, machine learning, IoT, experience-based information interchange between the physical system and the digital twin to achieve energy efficiency optimization. This novel approach integrates connectionist models and optimization techniques, bringing together complementary reasoning strategies for efficient energy use in real-time. This framework contributes to a better understanding of the effectiveness of digital twins on the automation of energy-dependent systems and explores new dimensions concerning the integration of autonomous intelligent management systems into physical systems.","2767-9896","978-1-6654-9794-7","10.1109/ICCAD55197.2022.9853899","Fundação para a Ciência e a Tecnologia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9853899","Digital Twins;Solar Heating Systems;Artificial Intelligence;Energy Efficiency","Heating systems;Performance evaluation;Biological system modeling;Buildings;Water heating;Energy efficiency;Cognition","","","","36","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"Remote Care and Collaboration for Empty Nest Family: Smart Home, Digital Twin and Mixed Reality","G. Hu; Y. Wang; M. Mao; Y. Zhao","Design Innovation Center, China Academy of Art, Hangzhou, China; Design Innovation Center, China Academy of Art, Hangzhou, China; Design Innovation Center, China Academy of Art, Hangzhou, China; Design Innovation Center, China Academy of Art, Hangzhou, China","2022 8th International Conference on Virtual Reality (ICVR)","18 Aug 2022","2022","","","126","134","With the acceleration of aging and the rapid upgrading of smart home devices, the solitary elderly of empty nest inevitably face the whirlpool of smart equipment. Lack of escort and assistance from their younger generations and third-party service, the senior's sense of loneliness and loss of control over smart home has become increasingly prominent. The authors of this article established a remote collaboration system for smart home (RCSSH) based on digital twin (DT) and mixed reality (MR), which achieves the cooperation between remote users (family juniors) and home users (the seniors) to complete auxiliary tasks such as remote company, management of smart devices, etc. In addition to sharing immersive perspectives and collaborative elements, the system also collects home environment data via hardware of internet of things (IoT) and displays them in the DT space to enrich the collaboration experience. Using augmented reality (AR) and remote interaction beyond physical space, the system can reduce the learning burden of smart homes for the in-home seniors through the bilateral remote collaboration, and expand the means that remote family members accompany their seniors, that make up for the loss of self-value for the elderly.","2331-9569","978-1-6654-7911-0","10.1109/ICVR55215.2022.9847779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9847779","smart home;remote collaboration;immersive company;solitary senior","Collaboration;Mixed reality;Smart homes;Hardware;Digital twins;Internet of Things;Older adults","","1","","19","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"Towards E-Learning Support for Advanced PLC-Programming: Virtual Training Kit for a Sluice Controller with the poST Language","A. D. Kharchenko; V. E. Zyubin; A. S. Rozov","Institute of Automation and Electrometry SB RAS, Novosibirsk, Russia; Institute of Automation and Electrometry SB RAS, Novosibirsk, Russia; Institute of Automation and Electrometry SB RAS, Novosibirsk, Russia","2022 IEEE 23rd International Conference of Young Professionals in Electron Devices and Materials (EDM)","19 Aug 2022","2022","","","708","713","The paper discusses an approach to the development of a virtual training kit for practical support of the course on process-oriented languages and advanced PLC programming technologies. The course is focused on the poST language which is a process-oriented extension of the IEC 61131–3 ST language. We offer a development methodology that covers the PLC program development. We describe step by step the process of creating a virtual training kit: we describe specification, create a cyber-physical diagram, program the digital twin of the plant, describe the requirements in the EDTL language, create a poST-program and debug it together with the plant. We demonstrate the proposed approach using an example of sluice automation. The IEC 61131–3 CODESYS development environment is used as the basic programming tool. The plant simulator is implemented by regular visualization of CODESYS. The user interface provides manual control and indication. In conclusion, we discuss the result obtained.","2325-419X","978-1-6654-9804-3","10.1109/EDM55285.2022.9855157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9855157","e-learning;PLC programming;process-oriented languages;cyber-physical diagram;EDTL-requirements;dynamic verification","Training;Visualization;Electronic learning;Automation;Human factors;User interfaces;Digital twins","","","","14","IEEE","19 Aug 2022","","","IEEE","IEEE Conferences"
"University’s Educational Environment Personalization Based on the Ontological Models","N. V. Pustovalova; T. V. Avdeenko; A. V. Pustovalova","dept. Automation and Computer Engineering, Novosibirsk State Technical University, Novosibirsk, Russian Federation; dept. Applied Mathematics and Computer Science, Novosibirsk State Technical University, Novosibirsk, Russian Federation; dept. Automation and Computer Engineering, Novosibirsk State Technical University, Novosibirsk, Russian Federation","2022 IEEE 23rd International Conference of Young Professionals in Electron Devices and Materials (EDM)","19 Aug 2022","2022","","","289","294","The paper presents a work in progress. Personalization of the educational environment allows improving the quality of the educational process, raising it to a new level. Our development is intended to diagnose and recommend educational content, depending on the students’ personality. This article describes a system of ontological models (Learner Model, educational content model and cognitive functions model) designed to diagnose students’ characteristics and the subsequent issuance of educational content, taking into account these characteristics. The learner model, implemented as a Protege ontology, is based not only on human professional experience but also on student testing results. This approach, based on the use of various IQ tests, allows reflecting in the ontology the dependencies identified due to linear regression methods, as well as other types of analysis. By this way we will reduce the dependence of the model on the human expert’s personality and make it more objective. Using the Protege tools, we will combine three ontologies in the architecture of a personalized environment through rules and axioms.","2325-419X","978-1-6654-9804-3","10.1109/EDM55285.2022.9855106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9855106","personalization;learner model;psychometric characteristic;learning content;ontology","Linear regression;Ontologies;Electron devices;Testing","","","","19","IEEE","19 Aug 2022","","","IEEE","IEEE Conferences"
"Short-Term Time Series Forecasting based on Edge Machine Learning Techniques for IoT devices","M. Rasch; A. Martino; M. Drobics; M. Merenda","Center for Digital Safety & Security, Austrian Institute of Technology Gmbh, Vienna, Austria; Department of Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Center for Digital Safety & Security, Austrian Institute of Technology Gmbh, Vienna, Austria; Center for Digital Safety & Security, Austrian Institute of Technology Gmbh, Vienna, Austria","2022 7th International Conference on Smart and Sustainable Technologies (SpliTech)","19 Aug 2022","2022","","","1","5","As the effects of climate change are becoming more and more evident, the importance of improved situation awareness is also gaining more attention, both in the context of preventive environmental monitoring and in the context of acute crisis response. One important aspect of situation awareness is the correct and thorough monitoring of air pollutants. The monitoring is threatened by sensor faults, power or network failures, or other hazards leading to missing or incorrect data transmission. For this reason, in this work we propose two complementary approaches for predicting missing sensor data and a combined technique for detecting outliers. The proposed solution can enhance the performance of low-cost sensor systems, closing the gap of missing measurements due to network unavailability, detecting drift and outliers thus paving the way to its use as an alert system for reportable events. The techniques have been deployed and tested also in a low power microcontroller environment, verifying the suitability of such a computing power to perform the inference locally, leading the way to an edge implementation of a virtual sensor digital twin.","","978-1-6654-8828-0","10.23919/SpliTech55088.2022.9854299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9854299","LSTM;Random Forest;Machine learning;Environmental data","Performance evaluation;Microcontrollers;Soft sensors;Image edge detection;Time series analysis;Machine learning;Sensor systems;Climate change","","","","20","","19 Aug 2022","","","IEEE","IEEE Conferences"
"EEG aided boosting of single-lead ECG based sleep staging with Deep Knowledge Distillation","V. Joshi; V. Sricharan; S. Preejith; M. Sivaprakasam","Department of Electrical Engineering, IIT Madras, Chennai, India; Healthcare Technology Innovation Innovation Center, IIT Madras, Chennai, India; Healthcare Technology Innovation Innovation Center, IIT Madras, Chennai, India; Department of Electrical Engineering, IIT Madras, Chennai, India","2022 IEEE International Symposium on Medical Measurements and Applications (MeMeA)","22 Aug 2022","2022","","","1","6","An electroencephalogram (EEG) signal is currently accepted as a standard for automatic sleep staging. Lately, Near-human accuracy in automated sleep staging has been achievable by Deep Learning (DL) based approaches, enabling multi-fold progress in this area. However, An extensive and expensive clinical setup is required for EEG based sleep staging. Additionally, the EEG setup being obtrusive in nature and requiring an expert for setup adds to the inconvenience of the subject under study, making it adverse in the point of care setting. An unobtrusive and more suitable alternative to EEG is Electrocardiogram (ECG). Unsurprisingly, compared to EEG in sleep staging, its performance remains sub-par. In order to take advantage of both the modalities, transferring knowledge from EEG to ECG is a reasonable approach, ultimately boosting the performance of ECG based sleep staging. Knowledge Distillation (KD) is a promising notion in DL that shares knowledge from a superior performing but usually more complex teacher model to an inferior but compact student model. Building upon this concept, a cross-modality KD framework assisting features learned through models trained on EEG to improve ECG-based sleep staging performance is proposed. Additionally, to better understand the distillation approach, extensive experimentation on the independent modules of the proposed model was conducted. Montreal Archive of Sleep Studies (MASS) dataset consisting of 200 subjects was utilized for this study. The results from the proposed model for weighted-F1-score in 3-class and 4-class sleep staging showed a 13.40 % and 14.30 % improvement, respectively. This study demonstrates the feasibility of KD for single-channel ECG based sleep staging's performance enhancement in 3-class (W-R-N) and 4-class (W-R-L-D) classification.","","978-1-6654-8299-8","10.1109/MeMeA54994.2022.9856508","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9856508","Sleep Staging;Deep Learning;Knowledge Distillation;EEG;ECG","Deep learning;Analytical models;Sleep;Point of care;Electrocardiography;Brain modeling;Boosting","","1","","14","IEEE","22 Aug 2022","","","IEEE","IEEE Conferences"
"RemixIT: Continual Self-Training of Speech Enhancement Models via Bootstrapped Remixing","E. Tzinis; Y. Adi; V. K. Ithapu; B. Xu; P. Smaragdis; A. Kumar","University of Illinois at Urbana-Champaign, Urbana, IL, USA; Hebrew University of Jerusalem, Jerusalem, Israel; Meta Reality Labs Research, Redmond, WA, USA; Meta Reality Labs Research, Redmond, WA, USA; University of Illinois at Urbana-Champaign, Urbana, IL, USA; Meta Reality Labs Research, Redmond, WA, USA","IEEE Journal of Selected Topics in Signal Processing","18 Oct 2022","2022","16","6","1329","1341","We present RemixIT, a simple yet effective self-supervised method for training speech enhancement without the need of a single isolated in-domain speech nor a noise waveform. Our approach overcomes limitations of previous methods which make them dependent on clean in-domain target signals and thus, sensitive to any domain mismatch between train and test samples. RemixIT is based on a continuous self-training scheme in which a pre-trained teacher model on out-of-domain data infers estimated pseudo-target signals for in-domain mixtures. Then, by permuting the estimated clean and noise signals and remixing them together, we generate a new set of bootstrapped mixtures and corresponding pseudo-targets which are used to train the student network. Vice-versa, the teacher periodically refines its estimates using the updated parameters of the latest student models. Experimental results on multiple speech enhancement datasets and tasks not only show the superiority of our method over prior approaches but also showcase that RemixIT can be combined with any separation model as well as be applied towards any semi-supervised and unsupervised domain adaptation task. Our analysis, paired with empirical evidence, sheds light on the inside functioning of our self-training scheme wherein the student model keeps obtaining better performance while observing severely degraded pseudo-targets.","1941-0484","","10.1109/JSTSP.2022.3200911","National Institute of Food and Agriculture(grant numbers:#2020-67021-32799); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9864253","Self-supervised learning;speech enhancement;semi-supervised self-training;zero-shot domain adaptation","Speech enhancement;Training;Noise measurement;Recording;Self-supervised learning","","13","","66","CCBY","22 Aug 2022","","","IEEE","IEEE Journals"
"A Hybrid Modelling Approach for the Digital Twin of Device Fabrication","Z. Zheng; D. Ni","College of Control Science And Engineering, Zhejiang University, Hangzhou, China; College of Control Science And Engineering, Zhejiang University, Hangzhou, China","2022 China Semiconductor Technology International Conference (CSTIC)","23 Aug 2022","2022","","","1","3","With the rapid development of semiconductor technology, it is increasingly difficult to adjust process parameters solely based on engineering experience. To solve the problem, we propose a method for constructing a hybrid mechanism data-driven transistor model. Using appropriate machine learning methods, engineers can build a Digital Twin of device fabrication by combining the first-principle model and actual data. The experiment results also prove that Digital Twin assists engineers in adjusting process parameters promptly.","","978-1-6654-9758-9","10.1109/CSTIC55103.2022.9856761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9856761","Transistor model;Data-driven model;Digital Twin","Semiconductor device modeling;Fabrication;Machine learning algorithms;Machine learning;Data models;Real-time systems;Digital twins","","","","7","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"How Can We Provide Better Simulation-Based Policy Support?","A. Tolk; T. Clemen; N. Gilbert; C. M. Macal","The MITRE Corporation, Charlottesville, VA, USA; Hamburg University of Applied Sciences, Hamburg, GERMANY; University of Surrey, Guildford, UK; Argonne National Laboratory, Lemont, IL, USA","2022 Annual Modeling and Simulation Conference (ANNSIM)","23 Aug 2022","2022","","","188","198","This paper collects the positions of four experts who participated in a panel on simulation-based policy support. The experts are well known for their contributions in this domain, predominantly for their use of agent-based approaches. The first section addresses the increasing requirements to integrate social modeling to support the evaluation of the socio-economic impact of policies, including questions of equity. Artificial societies are presented as enablers. The second section observes that the purpose of a simulation model is very much linked to its usefulness for supporting policy decisions. This implies requirements for learning agents and better representation of time and space. The third section focuses on the need to give agents more active behavior, to let them drive the action. While digital twin technology promises to help, the current state of the art seems insufficient. The section closes by looking at trust in simulation models, which will be needed for policy support.","","978-1-71-385288-9","10.23919/ANNSIM55834.2022.9859512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9859512","agent-based model;artificial society;policy support;spatial-temporal models;trust","Digital twins;Behavioral sciences","","2","","29","","23 Aug 2022","","","IEEE","IEEE Conferences"
"Guided Deep Metric Learning","J. Gonzalez-Zapata; I. Reyes-Amezcua; D. Flores-Araiza; M. Mendez-Ruiz; G. Ochoa-Ruiz; A. Mendez-Vazquez","CINVESTAV Unidad Guadalajara, Mexico; CINVESTAV Unidad Guadalajara, Mexico; Tecnológico de Monterrey, School of Engineering and Sciences, Mexico; Tecnológico de Monterrey, School of Engineering and Sciences, Mexico; Tecnológico de Monterrey, School of Engineering and Sciences, Mexico; CINVESTAV Unidad Guadalajara, Mexico","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","23 Aug 2022","2022","","","1480","1488","Deep Metric Learning (DML) methods have been proven relevant for visual similarity learning. However, they sometimes lack generalization properties because they are trained often using an inappropriate sample selection strategy or due to the difficulty of the dataset caused by a distributional shift in the data. These represent a significant drawback when attempting to learn the underlying data manifold. Therefore, there is a pressing need to develop better ways of obtaining generalization and representation of the underlying manifold. In this paper, we propose a novel approach to DML that we call Guided Deep Metric Learning, a novel architecture oriented to learning more compact clusters, improving generalization under distributional shifts in DML. This novel architecture consists of two independent models: A multi-branch master model, inspired from a Few-Shot Learning (FSL) perspective, generates a reduced hypothesis space based on prior knowledge from labeled data, which guides or regularizes the decision boundary of a student model during training under an offline knowledge distillation scheme. Experiments have shown that the proposed method is capable of a better manifold generalization and representation to up to 40% improvement (Recall@1, CIFAR10), using guidelines suggested by Musgrave et al. to perform a more fair and realistic comparison, which is currently absent in the literature.","2160-7516","978-1-6654-8739-9","10.1109/CVPRW56347.2022.00154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857203","","Measurement;Manifolds;Training;Analytical models;Adaptation models;Visualization;Computer architecture","","4","","44","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"Auxiliary Learning for Self-Supervised Video Representation via Similarity-based Knowledge Distillation","A. Dadashzadeh; A. Whone; M. Mirmehdi",University of Bristol; University of Bristol; University of Bristol,"2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","23 Aug 2022","2022","","","4230","4239","Despite the outstanding success of self-supervised pretraining methods for video representation learning, they generalise poorly when the unlabeled dataset for pretraining is small or the domain difference between unlabelled data in source task (pretraining) and labeled data in target task (finetuning) is significant. To mitigate these issues, we propose a novel approach to complement self-supervised pretraining via an auxiliary pretraining phase, based on knowledge similarity distillation, auxSKD, for better generalisation with a significantly smaller amount of video data, e.g. Kinetics-100 rather than Kinetics-400. Our method deploys a teacher network that iteratively distils its knowledge to the student model by capturing the similarity information between segments of unlabelled video data. The student model meanwhile solves a pretext task by exploiting this prior knowledge. We also introduce a novel pretext task, Video Segment Pace Prediction or VSPP, which requires our model to predict the playback speed of a randomly selected segment of the input video to provide more reliable self-supervised representations. Our experimental results show superior results to the state of the art on both UCF101 and HMDB51 datasets when pretraining on K100 in apple-to-apple comparisons. Additionally, we show that our auxiliary pretraining, auxSKD, when added as an extra pretraining phase to recent state of the art self-supervised methods (i.e. VCOP, VideoPace, and RSPNet), improves their results on UCF101 and HMDB51. Our code is available at https://github.com/Plrbear/auxSKD.","2160-7516","978-1-6654-8739-9","10.1109/CVPRW56347.2022.00468","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857296","","Representation learning;Knowledge engineering;Training;Predictive models;Data models;Pattern recognition;Reliability","","1","","49","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"An Efficient Federated Distillation Learning System for Multitask Time Series Classification","H. Xing; Z. Xiao; R. Qu; Z. Zhu; B. Zhao","School of Computing and Artificial Intelligence, Southwest Jiaotong University, Chengdu, China; School of Computing and Artificial Intelligence, Southwest Jiaotong University, Chengdu, China; School of Computer Science, University of Nottingham, Nottingham, U.K.; School of Computing and Artificial Intelligence, Southwest Jiaotong University, Chengdu, China; School of Computing and Artificial Intelligence, Southwest Jiaotong University, Chengdu, China","IEEE Transactions on Instrumentation and Measurement","8 Sep 2022","2022","71","","1","12","This article proposes an efficient federated distillation learning system (EFDLS) for multitask time series classification (TSC). EFDLS consists of a central server and multiple mobile users, where different users may run different TSC tasks. EFDLS has two novel components: a feature-based student–teacher (FBST) framework and a distance-based weights matching (DBWM) scheme. For each user, the FBST framework transfers knowledge from its teacher’s hidden layers to its student’s hidden layers via knowledge distillation, where the teacher and student have identical network structures. For each connected user, its student model’s hidden layers’ weights are uploaded to the EFDLS server periodically. The DBWM scheme is deployed on the server, with the least square distance (LSD) used to measure the similarity between the weights of two given models. This scheme finds a partner for each connected user such that the user’s and its partner’s weights are the closest among all the weights uploaded. The server exchanges and sends back the user’s and its partner’s weights to these two users which then load the received weights to their teachers’ hidden layers. Experimental results show that compared with a number of state-of-the-art federated learning (FL) algorithms, our proposed EFDLS wins 20 out of 44 standard UCR2018 datasets and achieves the highest mean accuracy (70.14%) on these datasets. In particular, compared with a single-task baseline, EFDLS obtains 32/4/8 regarding “win”/“tie”/“lose” and results in an improvement of approximately 4% in terms of mean accuracy.","1557-9662","","10.1109/TIM.2022.3201203","Natural Science Foundation of Sichuan Province(grant numbers:2022NSFSC0568); National Natural Science Foundation of China(grant numbers:62172342); Fundamental Research Funds for the Central Universities, China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9865987","Data mining;deep learning;federated learning (FL);knowledge distillation;time series classification (TSC)","Task analysis;Feature extraction;Heuristic algorithms;Servers;Multitasking;Time series analysis;Instruments","","27","","61","IEEE","24 Aug 2022","","","IEEE","IEEE Journals"
